Gset,G57,5000,20000,4.00,4,0.000,1.000
HB,sherman3,5005,20033,4.00,7,0.665,1.000
Shyy,shyy41,4720,20042,4.25,6,0.299,0.766
Bai,rw5151,5151,20199,3.92,4,0.086,0.490
Gset,G57,5000,20000,4.00,4,0.000,1.000
HB,sherman3,5005,20033,4.00,7,0.665,1.000
Shyy,shyy41,4720,20042,4.25,6,0.299,0.766
Bai,rw5151,5151,20199,3.92,4,0.086,0.490
SNAP,CollegeMsg,1899,20296,10.69,237,2.046,0.636
Oberwolfach,t3dl_e,20360,20360,1.00,1,0.000,1.000
Schenk_IBMNA,c-20,2921,22685,7.77,158,1.618,1.000
SNAP,p2p-Gnutella08,6301,20777,3.30,48,1.425,0.000
Wang,swang1,3169,20841,6.58,10,0.138,1.000
Bomhof,circuit_2,4510,21199,4.70,1274,4.788,0.848
TOKAMAK,utm1700b,1700,21509,12.65,29,0.528,0.561
Hamrle,Hamrle2,5952,22162,3.72,5,0.375,0.001
Rommes,bips98_606,7135,34738,4.87,30,0.676,0.927
SNAP,soc-sign-bitcoin-otc,5881,35592,6.05,763,3.484,0.792
Rommes,bips07_1693,13275,49044,3.69,30,0.757,0.783
DRIVCAV,cavity10,2597,76367,29.41,62,0.508,0.939
Shen,shermanACb,18510,145149,7.84,10405,12.746,0.258
VDOL,lowThrust_7,17378,211561,12.17,6757,5.955,1.000
Mallya,lhr10,10672,232633,21.80,63,1.209,0.009
ML_Graph,worms20_10NN,20055,240826,12.01,19,0.130,1.000
Cylshell,s1rmq4m1,5489,281111,51.21,54,0.136,1.000
Oberwolfach,inlet,11730,328323,27.99,41,0.281,0.622
GHS_indef,ncvxbqp1,50000,349968,7.00,9,0.286,1.000
SNAP,email-EuAll,265214,420045,1.58,930,6.304,0.262
Rajat,rajat18,94294,485143,5.15,28747,18.840,0.704
Rajat,rajat25,87190,607235,6.96,29105,14.642,0.993
TSOPF,TSOPF_RS_b39_c19,38098,684206,17.96,32,0.779,0.112
QLi,crashbasis,160000,1750416,10.94,11,0.038,0.591
QLi,majorbasis,160000,1750416,10.94,11,0.038,0.591
VanVelzen,Zd_Jac3,22835,1916152,83.91,1050,2.281,0.000
Rajat,rajat29,643994,4866270,7.56,454521,102.420,0.929
Raju,laminar_duct3D,67173,3833077,57.06,89,0.664,0.903
SNAP,web-Google,916428,5105039,5.57,456,1.177,0.307
LAW,amazon-2008,735323,5158388,7.02,10,0.562,0.634
QLi,largebasis,440020,5560100,12.64,14,0.091,1.000
Muite,Chebyshev4,68121,5377761,78.94,68121,13.445,0.311
VLSI,radiation,223104,7637688,34.23,3498,0.443,0.640
Goodwin,Goodwin_127,178437,5778545,32.38,62,0.494,0.990
ATandT,pre2,659033,5959282,9.04,628,2.446,0.365
PARSEC,Ga3As3H12,61349,5970947,97.33,1622,2.308,1.000
SNAP,com-Youtube,1134890,5975248,5.27,28754,9.640,1.000
