group,name,n,nnz,nnz_per_row,pattern_sym,kind
Mycielski,mycielskian2,2,2,1.0,1.000,undirected graph
Mycielski,mycielskian3,5,10,2.0,1.000,undirected graph
vanHeukelum,cage3,5,19,3.8,1.000,directed weighted graph
Grund,b1_ss,7,15,2.1,0.000,chemical process simulation problem
vanHeukelum,cage4,9,49,5.4,1.000,directed weighted graph
HB,jgl009,9,50,5.6,0.476,counter-example problem
HB,rgg010,10,76,7.6,0.636,counter-example problem
Pajek,Stranke94,10,90,9.0,1.000,undirected weighted graph
Pajek,Tina_AskCal,11,29,2.6,0.276,directed graph
Pajek,Tina_AskCog,11,36,3.3,0.500,directed graph
Mycielski,mycielskian4,11,40,3.6,1.000,undirected graph
Pajek,Tina_DisCal,11,41,3.7,0.439,directed graph
Pajek,Tina_DisCog,11,48,4.4,0.500,directed graph
HB,jgl011,11,76,6.9,0.515,counter-example problem
Oberwolfach,LFAT5,14,46,3.3,1.000,model reduction problem
Pajek,GD01_b,18,37,2.1,0.514,directed graph
Oberwolfach,LF10,18,82,4.6,1.000,model reduction problem
JGD_Trefethen,Trefethen_20b,19,147,7.7,1.000,combinatorial problem
JGD_Trefethen,Trefethen_20,20,158,7.9,1.000,combinatorial problem
Pajek,Ragusa18,23,64,2.8,0.328,directed weighted graph
Pajek,GD02_a,23,87,3.8,0.644,directed graph
Mycielski,mycielskian5,23,142,6.2,1.000,undirected graph
Pajek,Ragusa16,24,81,3.4,0.366,directed weighted graph
HB,can_24,24,160,6.7,1.000,structural problem
HB,lap_25,25,169,6.8,1.000,structural problem
FIDAP,ex5,27,279,10.3,1.000,computational fluid dynamics problem
HB,pores_1,30,180,6.0,0.627,computational fluid dynamics problem
Hamrle,Hamrle1,32,98,3.1,0.065,circuit simulation problem
HB,ibm32,32,126,3.9,0.085,directed graph
Pajek,GD01_c,33,135,4.1,0.000,directed multigraph
Newman,karate,34,156,4.6,1.000,undirected graph
Pajek,football,35,118,3.4,0.000,directed weighted graph
Pajek,GD95_a,36,57,1.6,0.035,directed graph
vanHeukelum,cage5,37,233,6.3,1.000,directed weighted graph
Pajek,GD98_a,38,50,1.3,0.160,directed graph
HB,bcspwr01,39,131,3.4,1.000,power network problem
DIMACS10,chesapeake,39,340,8.7,1.000,undirected graph
Pajek,GD97_b,47,264,5.6,1.000,undirected weighted graph
Mycielski,mycielskian6,47,472,10.0,1.000,undirected graph
HB,bcsstm01,48,24,0.5,1.000,structural problem
Pothen,mesh1e1,48,306,6.4,1.000,structural problem
Pothen,mesh1em1,48,306,6.4,1.000,structural problem
Pothen,mesh1em6,48,306,6.4,1.000,structural problem
HB,bcsstk01,48,400,8.3,1.000,structural problem
HB,bcspwr02,49,167,3.4,1.000,power network problem
Grund,d_ss,53,144,2.7,0.041,chemical process simulation problem
HB,curtis54,54,291,5.4,0.954,2D/3D problem
HB,will57,57,281,4.9,0.866,semiconductor device problem
HB,dwt_59,59,267,4.5,1.000,structural problem
HB,impcol_b,59,271,4.6,0.095,chemical process simulation problem
HB,can_61,61,557,9.1,1.000,structural problem
HB,can_62,62,218,3.5,1.000,structural problem
Pajek,GD95_c,62,287,4.6,0.997,directed graph
Newman,dolphins,62,318,5.1,1.000,undirected graph
Bai,bfwb62,62,342,5.5,1.000,electromagnetics problem
Bai,bfwa62,62,450,7.3,0.969,electromagnetics problem
Pajek,GD99_b,64,252,3.9,1.000,undirected multigraph
Pajek,GD96_c,65,250,3.8,1.000,undirected graph
HB,bcsstm02,66,66,1.0,1.000,structural problem
