tag,n,nnz,est_aa_ub,est_aat_ub,task,C_nnz,ms,status
ATandT__pre2,659033,5959282,417565877,543059816,AA,,,skip_oom
ATandT__pre2,659033,5959282,417565877,543059816,AAt,,,skip_oom
Bai__rw5151,5151,20199,79795,79797,AA,50387,0.3983,ok
Bai__rw5151,5151,20199,79795,79797,AAt,64745,0.3328,ok
Bomhof__circuit_2,4510,21199,2905687,4044421,AA,2160324,2.3300,ok
Bomhof__circuit_2,4510,21199,2905687,4044421,AAt,3299058,2.2306,ok
Cylshell__s1rmq4m1,5489,281111,14662217,14662217,AA,755453,19.0071,ok
Cylshell__s1rmq4m1,5489,281111,14662217,14662217,AAt,755453,10.8674,ok
DRIVCAV__cavity10,2597,76367,2849767,3012555,AA,333396,0.8434,ok
DRIVCAV__cavity10,2597,76367,2849767,3012555,AAt,356209,2.2480,ok
GHS_indef__ncvxbqp1,50000,349968,2649546,2649546,AA,1099432,1.0955,ok
GHS_indef__ncvxbqp1,50000,349968,2649546,2649546,AAt,1099432,0.9132,ok
Goodwin__Goodwin_127,178437,5778545,231353414,231191815,AA,26891956,22.0220,ok
Goodwin__Goodwin_127,178437,5778545,231353414,231191815,AAt,26802959,23.5785,ok
Gset__G57,5000,20000,80000,80000,AA,45000,0.3418,ok
Gset__G57,5000,20000,80000,80000,AAt,45000,0.3436,ok
HB__sherman3,5005,20033,115685,115685,AA,59909,0.3520,ok
HB__sherman3,5005,20033,115685,115685,AAt,59909,0.3429,ok
Hamrle__Hamrle2,5952,22162,83772,102858,AA,64330,0.9405,ok
Hamrle__Hamrle2,5952,22162,83772,102858,AAt,60494,0.7515,ok
LAW__amazon-2008,735323,5158388,46082867,78375688,AA,25366745,32.6463,ok
LAW__amazon-2008,735323,5158388,46082867,78375688,AAt,48365714,44.9777,ok
ML_Graph__worms20_10NN,20055,240826,2940824,2940824,AA,755765,1.3562,ok
ML_Graph__worms20_10NN,20055,240826,2940824,2940824,AAt,755765,0.9837,ok
Mallya__lhr10,10672,232633,5100429,7784881,AA,1249871,1.4332,ok
Mallya__lhr10,10672,232633,5100429,7784881,AAt,1058820,1.7616,ok
Muite__Chebyshev4,68121,5377761,277056025,428283025,AA,,,skip_oom
Muite__Chebyshev4,68121,5377761,277056025,428283025,AAt,,,skip_oom
Oberwolfach__inlet,11730,328323,9651407,9612475,AA,1347981,2.7821,ok
Oberwolfach__inlet,11730,328323,9651407,9612475,AAt,1089250,2.2997,ok
Oberwolfach__t3dl_e,20360,20360,20360,20360,AA,20360,0.2084,ok
Oberwolfach__t3dl_e,20360,20360,20360,20360,AAt,20360,0.3335,ok
PARSEC__Ga3As3H12,61349,5970947,3677546507,3677546507,AA,,,skip_oom
PARSEC__Ga3As3H12,61349,5970947,3677546507,3677546507,AAt,,,skip_oom
QLi__crashbasis,160000,1750416,19178064,26912800,AA,8243392,4.8217,ok
QLi__crashbasis,160000,1750416,19178064,26912800,AAt,8224288,6.5935,ok
QLi__largebasis,440020,5560100,70840580,70840580,AA,17040280,14.6916,ok
QLi__largebasis,440020,5560100,70840580,70840580,AAt,17040280,58.8453,ok
QLi__majorbasis,160000,1750416,19178064,26912800,AA,8243392,7.7475,ok
QLi__majorbasis,160000,1750416,19178064,26912800,AAt,8224288,7.8674,ok
Rajat__rajat18,94294,485143,881220051,886769077,AA,,,skip_oom
Rajat__rajat18,94294,485143,881220051,886769077,AAt,,,skip_oom
Rajat__rajat25,87190,607235,910717165,910539035,AA,,,skip_oom
Rajat__rajat25,87190,607235,910717165,910539035,AAt,,,skip_oom
Rajat__rajat29,643994,4866270,385370337586,395285810142,AA,,,skip_oom
Rajat__rajat29,643994,4866270,385370337586,395285810142,AAt,,,skip_oom
Raju__laminar_duct3D,67173,3833077,286051210,277689601,AA,18934077,18.6305,ok
Raju__laminar_duct3D,67173,3833077,286051210,277689601,AAt,17579159,18.6408,ok
Rommes__bips07_1693,13275,49044,279589,301400,AA,124904,54.3764,ok
Rommes__bips07_1693,13275,49044,279589,301400,AAt,139889,2.0898,ok
Rommes__bips98_606,7135,34738,243229,255800,AA,98760,6.5737,ok
Rommes__bips98_606,7135,34738,243229,255800,AAt,107949,14.5928,ok
SNAP__CollegeMsg,1899,20296,744395,660476,AA,407071,10.6633,ok
SNAP__CollegeMsg,1899,20296,744395,660476,AAt,320778,7.1839,ok
SNAP__com-Youtube,1134890,5975248,2954940368,2954940368,AA,,,skip_oom
SNAP__com-Youtube,1134890,5975248,2954940368,2954940368,AAt,,,skip_oom
SNAP__email-EuAll,265214,420045,50610762,354522447,AA,,,skip_oom
SNAP__email-EuAll,265214,420045,50610762,354522447,AAt,,,skip_oom
SNAP__p2p-Gnutella08,6301,20777,94194,337525,AA,89625,2.1150,ok
SNAP__p2p-Gnutella08,6301,20777,94194,337525,AAt,219107,48.0608,ok
SNAP__soc-sign-bitcoin-otc,5881,35592,2301858,2052366,AA,1677771,34.2543,ok
SNAP__soc-sign-bitcoin-otc,5881,35592,2301858,2052366,AAt,1414978,40.9073,ok
SNAP__web-Google,916428,5105039,60687836,1377405573,AA,,,skip_oom
SNAP__web-Google,916428,5105039,60687836,1377405573,AAt,,,skip_oom
Schenk_IBMNA__c-20,2921,22685,637629,637629,AA,212913,9.0685,ok
Schenk_IBMNA__c-20,2921,22685,637629,637629,AAt,212913,0.6968,ok
