tag,n,nnz,task,C_nnz_ours,C_nnz_cus,ms_ours,ms_cus,speedup,chk_match,status
HB__1138_bus,1138,4054,AA,11142,11142,0.1671,0.3135,1.88,1,ok
HB__1138_bus,1138,4054,AAt,11142,11142,0.1939,0.2038,1.05,1,ok
HB__494_bus,494,1666,AA,4062,4062,0.1621,0.2067,1.28,1,ok
HB__494_bus,494,1666,AAt,4062,4062,0.1772,0.2073,1.17,1,ok
HB__662_bus,662,2474,AA,6480,6480,0.1519,0.2115,1.39,1,ok
HB__662_bus,662,2474,AAt,6480,6480,0.1791,0.2081,1.16,1,ok
HB__685_bus,685,3249,AA,9337,9337,0.1527,0.2134,1.40,1,ok
HB__685_bus,685,3249,AAt,9337,9337,0.1834,0.2074,1.13,1,ok
HB__arc130,130,1282,AA,15631,15631,0.3163,0.2192,0.69,1,ok
HB__arc130,130,1282,AAt,15654,15654,0.4685,0.2197,0.47,1,ok
HB__ash292,292,2208,AA,6042,6042,0.1537,0.2117,1.38,1,ok
HB__ash292,292,2208,AAt,6042,6042,7.7724,0.2238,0.03,1,ok
HB__ash85,85,523,AA,1317,1317,0.0791,0.1975,2.50,1,ok
HB__ash85,85,523,AAt,1317,1317,0.1061,0.1975,1.86,1,ok
HB__bcspwr01,39,131,AA,275,275,0.0744,0.1945,2.61,1,ok
HB__bcspwr01,39,131,AAt,275,275,0.0958,0.1969,2.06,1,ok
HB__bcspwr02,49,167,AA,403,403,0.0760,0.1975,2.60,1,ok
HB__bcspwr02,49,167,AAt,403,403,0.1003,0.2961,2.95,1,ok
HB__bcspwr03,118,476,AA,1270,1270,0.0832,0.1960,2.36,1,ok
HB__bcspwr03,118,476,AAt,1270,1270,0.1068,0.1954,1.83,1,ok
HB__bcspwr04,274,1612,AA,4982,4982,0.1547,0.2000,1.29,1,ok
HB__bcspwr04,274,1612,AAt,4982,4982,0.1840,0.1992,1.08,1,ok
HB__bcspwr05,443,1623,AA,4249,4249,0.1463,0.1979,1.35,1,ok
HB__bcspwr05,443,1623,AAt,4249,4249,0.1692,0.1989,1.18,1,ok
HB__bcspwr06,1454,5300,AA,14110,14110,0.1586,0.2147,1.35,1,ok
HB__bcspwr06,1454,5300,AAt,14110,14110,0.1894,0.2234,1.18,1,ok
HB__bcspwr07,1612,5824,AA,15684,15684,0.1527,0.2118,1.39,1,ok
