OK HB__1138_bus                 AA spd=1.88x AAt spd=1.05x
OK HB__494_bus                  AA spd=1.28x AAt spd=1.17x
OK HB__662_bus                  AA spd=1.39x AAt spd=1.16x
OK HB__685_bus                  AA spd=1.40x AAt spd=1.13x
OK HB__arc130                   AA spd=0.69x AAt spd=0.47x
OK HB__ash292                   AA spd=1.38x AAt spd=0.03x
OK HB__ash85                    AA spd=2.50x AAt spd=1.86x
OK HB__bcspwr01                 AA spd=2.61x AAt spd=2.06x
OK HB__bcspwr02                 AA spd=2.60x AAt spd=2.95x
OK HB__bcspwr03                 AA spd=2.36x AAt spd=1.83x
OK HB__bcspwr04                 AA spd=1.29x AAt spd=1.08x
OK HB__bcspwr05                 AA spd=1.35x AAt spd=1.18x
OK HB__bcspwr06                 AA spd=1.35x AAt spd=1.18x
OK HB__bcspwr07                 AA spd=1.39x AAt spd=1.10x
OK HB__bcspwr08                 AA spd=1.29x AAt spd=1.09x
OK HB__bcspwr09                 AA spd=1.29x AAt spd=1.08x
OK HB__bcspwr10                 AA spd=38.22x AAt spd=38.24x
OK HB__bcsstk01                 AA spd=2.31x AAt spd=104.15x
OK HB__bcsstk02                 AA spd=27.59x AAt spd=30.08x
OK HB__bcsstk03                 AA spd=2.58x AAt spd=1.99x
OK HB__bcsstk04                 AA spd=43.45x AAt spd=3.64x
OK HB__bcsstk05                 AA spd=1.19x AAt spd=0.03x
OK HB__bcsstk06                 AA spd=14.20x AAt spd=11.41x
OK HB__bcsstk07                 AA spd=22.53x AAt spd=20.15x
  MISMATCH HB__bcsstk08 AA: ours nnz=305679 chk=(7.638567e+21, 1.629093e+22, 3.909172e+43) vs cus nnz=305612 chk=(7.638568e+21, 1.629093e+22, 3.909172e+43)
  MISMATCH HB__bcsstk08 AAt: ours nnz=305680 chk=(7.638568e+21, 1.629093e+22, 3.909172e+43) vs cus nnz=305612 chk=(7.638568e+21, 1.629093e+22, 3.909172e+43)
OK HB__bcsstk08                 AA spd=1.13x AAt spd=6.43x
OK HB__bcsstk09                 AA spd=2.16x AAt spd=1.78x
OK HB__bcsstk10                 AA spd=22.05x AAt spd=7.73x
OK HB__bcsstk11                 AA spd=19.16x AAt spd=8.37x
OK HB__bcsstk12                 AA spd=2.40x AAt spd=2.61x
OK HB__bcsstk13                 AA spd=3.75x AAt spd=0.86x
OK HB__bcsstk14                 AA spd=2.86x AAt spd=1.60x
  MISMATCH HB__bcsstk15 AA: ours nnz=527813 chk=(7.345741e+20, 7.579932e+21, 5.700807e+40) vs cus nnz=527688 chk=(7.345988e+20, 7.578651e+21, 5.700782e+40)
  MISMATCH HB__bcsstk15 AAt: ours nnz=527814 chk=(7.345743e+20, 7.579932e+21, 5.700807e+40) vs cus nnz=527688 chk=(7.345988e+20, 7.578651e+21, 5.700782e+40)
OK HB__bcsstk15                 AA spd=1.32x AAt spd=2.02x
OK HB__bcsstk16                 AA spd=5.07x AAt spd=1.59x
OK HB__bcsstk17                 AA spd=7.17x AAt spd=2.58x
OK HB__bcsstk18                 AA spd=3.13x AAt spd=2.07x
OK HB__bcsstk19                 AA spd=2.75x AAt spd=2.23x
OK HB__bcsstk20                 AA spd=3.02x AAt spd=2.40x
OK HB__bcsstk21                 AA spd=4.19x AAt spd=2.28x
OK HB__bcsstk22                 AA spd=2.01x AAt spd=2.12x
OK HB__bcsstk23                 AA spd=3.93x AAt spd=3.00x
OK HB__bcsstk24                 AA spd=3.08x AAt spd=2.88x
OK HB__bcsstk25                 AA spd=6.68x AAt spd=4.06x
OK HB__bcsstk26                 AA spd=3.55x AAt spd=2.36x
OK HB__bcsstk27                 AA spd=3.29x AAt spd=2.80x
OK HB__bcsstk28                 AA spd=3.07x AAt spd=2.18x
OK HB__bcsstk29                 AA spd=2.43x AAt spd=2.66x
OK HB__bcsstk30                 AA spd=0.56x AAt spd=0.65x
  MISMATCH HB__bcsstk31 AA: ours nnz=4713765 chk=(47418500.0, 47418500.0, 945287500.0) vs cus nnz=4713580 chk=(47416800.0, 47416800.0, 945260300.0)
  MISMATCH HB__bcsstk31 AAt: ours nnz=4713766 chk=(47418450.0, 47418450.0, 945286500.0) vs cus nnz=4713580 chk=(47416800.0, 47416800.0, 945260300.0)
OK HB__bcsstk31                 AA spd=2.38x AAt spd=1.52x
OK HB__bcsstk32                 AA spd=0.93x AAt spd=0.96x
OK HB__bcsstk33                 AA spd=4.49x AAt spd=2.53x
OK HB__bcsstm01                 AA spd=2.55x AAt spd=1.78x
OK HB__bcsstm02                 AA spd=4.42x AAt spd=2.75x
OK HB__bcsstm03                 AA spd=3.51x AAt spd=2.75x
OK HB__bcsstm04                 AA spd=3.43x AAt spd=2.61x
OK HB__bcsstm05                 AA spd=103.20x AAt spd=70.11x
OK HB__bcsstm06                 AA spd=2.94x AAt spd=2.20x
OK HB__bcsstm07                 AA spd=21.90x AAt spd=1.70x
OK HB__bcsstm08                 AA spd=2.92x AAt spd=2.18x
OK HB__bcsstm09                 AA spd=2.89x AAt spd=2.15x
OK HB__bcsstm10                 AA spd=48.11x AAt spd=1.66x
OK HB__bcsstm11                 AA spd=2.83x AAt spd=2.14x
OK HB__bcsstm12                 AA spd=3.59x AAt spd=7.99x
OK HB__bcsstm13                 AA spd=0.93x AAt spd=0.82x
OK HB__bcsstm19                 AA spd=2.88x AAt spd=2.16x
OK HB__bcsstm20                 AA spd=2.86x AAt spd=2.13x
OK HB__bcsstm21                 AA spd=1.54x AAt spd=1.32x
OK HB__bcsstm22                 AA spd=0.02x AAt spd=0.01x
OK HB__bcsstm23                 AA spd=6.42x AAt spd=4.35x
OK HB__bcsstm24                 AA spd=3.37x AAt spd=2.27x
OK HB__bcsstm25                 AA spd=3.36x AAt spd=2.26x
OK HB__bcsstm26                 AA spd=3.41x AAt spd=2.29x
OK HB__bcsstm27                 AA spd=3.63x AAt spd=2.48x
OK HB__blckhole                 AA spd=3.47x AAt spd=2.26x
OK HB__bp_0                     AA spd=3.05x AAt spd=2.09x
OK HB__bp_1000                  AA spd=2.96x AAt spd=2.03x
OK HB__bp_1200                  AA spd=2.98x AAt spd=2.03x
OK HB__bp_1400                  AA spd=2.96x AAt spd=2.02x
OK HB__bp_1600                  AA spd=2.96x AAt spd=2.03x
OK HB__bp_200                   AA spd=3.02x AAt spd=2.04x
OK HB__bp_400                   AA spd=3.01x AAt spd=2.04x
OK HB__bp_600                   AA spd=3.00x AAt spd=2.02x
OK HB__bp_800                   AA spd=2.96x AAt spd=2.02x
OK HB__can_1054                 AA spd=3.33x AAt spd=2.25x
OK HB__can_1072                 AA spd=5.12x AAt spd=3.19x
OK HB__can_144                  AA spd=3.36x AAt spd=2.27x
OK HB__can_161                  AA spd=3.35x AAt spd=2.26x
OK HB__can_187                  AA spd=3.36x AAt spd=2.27x
OK HB__can_229                  AA spd=3.36x AAt spd=2.27x
OK HB__can_24                   AA spd=3.40x AAt spd=2.29x
OK HB__can_256                  AA spd=3.24x AAt spd=2.20x
OK HB__can_268                  AA spd=3.34x AAt spd=2.25x
OK HB__can_292                  AA spd=3.34x AAt spd=2.25x
OK HB__can_445                  AA spd=3.35x AAt spd=2.27x
OK HB__can_61                   AA spd=3.39x AAt spd=2.28x
OK HB__can_62                   AA spd=3.40x AAt spd=2.29x
