tag,task,choice,desc_ms,run_ms,total_ms,ms_ours,ms_cus
HB__1138_bus,AA,ours,0.0029,0.1669,0.1698,0.1603,0.2037
HB__1138_bus,AAt,ours,0.0057,0.1952,0.2009,0.1916,0.2054
HB__494_bus,AA,ours,0.0017,0.1464,0.1481,0.1432,0.2017
HB__494_bus,AAt,ours,0.0029,0.1704,0.1733,0.1648,0.2009
HB__662_bus,AA,ours,0.0021,0.1488,0.1510,0.1483,0.2085
HB__662_bus,AAt,ours,0.0092,2.1433,2.1526,0.1719,0.2084
HB__685_bus,AA,ours,0.0023,0.1544,0.1567,0.1513,0.2112
HB__685_bus,AAt,ours,0.0061,0.1830,0.1891,0.1824,0.2115
HB__arc130,AA,cusparse,0.0010,0.2159,0.2169,0.3626,0.2200
HB__arc130,AAt,cusparse,0.0024,0.2882,0.2905,0.4847,0.2222
HB__ash292,AA,ours,0.0016,0.1453,0.1469,0.1481,0.2096
HB__ash292,AAt,ours,0.0029,0.1720,0.1749,0.1757,0.2097
HB__ash85,AA,ours,0.0006,0.0798,0.0804,0.0796,0.2091
HB__ash85,AAt,ours,0.0016,0.1037,0.1053,0.1050,0.2074
HB__bcspwr01,AA,ours,0.0004,0.0739,0.0743,0.0730,0.1983
HB__bcspwr01,AAt,ours,0.0014,0.0955,0.0969,0.0958,0.1990
HB__bcspwr02,AA,ours,0.0004,0.0757,0.0761,0.0756,0.1972
HB__bcspwr02,AAt,ours,0.0016,0.1005,0.1021,0.1000,0.1970
HB__bcspwr03,AA,ours,0.0006,1.2054,1.2061,0.0796,0.1957
HB__bcspwr03,AAt,ours,0.0015,1.0779,1.0794,0.1038,0.1959
HB__bcspwr04,AA,ours,0.0012,0.1515,0.1527,0.1553,0.2024
HB__bcspwr04,AAt,ours,0.0024,0.1825,0.1849,0.1839,0.2039
HB__bcspwr05,AA,ours,0.0014,0.1436,0.1450,0.1448,0.2072
HB__bcspwr05,AAt,ours,0.0030,0.1697,0.1728,0.1731,0.2079
HB__bcspwr06,AA,ours,0.0037,0.1562,0.1599,0.1561,0.2088
HB__bcspwr06,AAt,ours,0.0086,0.1857,0.1944,0.1862,0.2070
HB__bcspwr07,AA,ours,0.0039,0.1530,0.1569,0.1551,0.2114
