tag,n,nnz,C_nnz,ms_aat,ms_aats,speedup,match
HB__1138_bus,1138,4054,11142,0.1895,0.2218,0.854,1
HB__494_bus,494,1666,4062,0.1664,0.1875,0.887,1
HB__662_bus,662,2474,6480,0.1702,0.1979,0.860,1
HB__685_bus,685,3249,9337,0.1786,0.2067,0.864,1
HB__arc130,130,1282,15654,1.7329,1.7816,0.973,1
HB__ash292,292,2208,6042,0.1693,1.1752,0.144,1
HB__ash85,85,523,1317,0.1047,0.1257,0.833,1
HB__bcspwr01,39,131,275,0.0977,0.1214,0.805,1
HB__bcspwr02,49,167,403,0.0986,0.1230,0.802,1
HB__bcspwr03,118,476,1270,0.1043,0.1305,0.799,1
HB__bcspwr04,274,1612,4982,0.1818,0.2068,0.879,1
HB__bcspwr05,443,1623,4249,0.1678,0.1935,0.867,1
HB__bcspwr06,1454,5300,14110,4.0756,0.2067,19.717,1
HB__bcspwr07,1612,5824,15684,0.1785,0.2008,0.889,1
HB__bcspwr08,1624,6050,16916,0.1808,0.2089,0.865,1
HB__bcspwr09,1723,6511,18485,0.1825,0.2079,0.878,1
HB__bcspwr10,5300,21842,60498,0.2085,0.2292,0.910,1
HB__bcsstk01,48,400,1292,0.1080,0.1357,0.796,1
HB__bcsstk02,66,4356,4356,0.5366,0.5980,0.897,1
HB__bcsstk03,112,640,1072,0.0986,0.2301,0.429,1
HB__bcsstk04,132,3648,11968,0.3477,1.4224,0.244,1
HB__bcsstk05,153,2423,7245,0.2812,0.4023,0.699,1
HB__bcsstk06,420,7860,23660,0.2122,1.7566,0.121,1
HB__bcsstk07,420,7860,23660,1.3676,0.2456,5.568,1
HB__bcsstk08,1074,12960,305612,1.2096,1.2880,0.939,1
HB__bcsstk09,1083,18437,71289,0.2205,0.2630,0.838,1
HB__bcsstk10,1086,22070,54504,0.2165,0.2514,0.861,1
HB__bcsstk11,1473,34241,94187,0.2335,0.2724,0.857,1
HB__bcsstk12,1473,34241,94187,0.3351,0.2769,1.210,1
HB__bcsstk13,2003,83883,396773,1.3811,1.2029,1.148,1
HB__bcsstk14,1806,63454,195654,0.5596,0.5177,1.081,1
HB__bcsstk15,3948,117816,527688,1.9012,1.7826,1.067,1
HB__bcsstk16,4884,290378,1038782,4.6023,4.4476,1.035,1
HB__bcsstk17,10974,428650,1406936,4.5836,2.0677,2.217,1
